institution,number,family,genus,species,cranium.length,rostrum.length,rostrum.width,rostrum.depth,coracoid,sternum.length,keel.length,keel.depth,humerus,ulna,carpometacarpus,femur,tibiotarsus,tarsometatarsus,island,landbird.spp.richness,island.area,elevation,nearest.continent,isolation,ecosystem.richness,raptor.spp,columbid.spp,kingfisher.spp,mammal.predators,location.1,location.2,location.3,collector,age,mass,wing.ch.,tail,subspecies,sex,other
NMNH,606572,Alcedinidae,Halcyon,Halcyon_coromanda,NA,NA,NA,NA,30.34,25.95,32.4,12.03,40.39,NA,NA,25.69,NA,NA,Lanyu_Island,NA,45,NA,NA,NA,NA,NA,NA,NA,yes,Taiwan,Lanyu Island (Orchid Island),Chung-Ai Bridge,C.A. Ross,NA,93,NA,NA,bangsi,female,NA
NMNH,611826,Alcedinidae,Halcyon,Halcyon_coromanda,NA,NA,NA,NA,30.57,24.25,31.25,11.08,NA,NA,NA,25.56,NA,NA,Lanyu_Island,NA,45,NA,NA,NA,NA,NA,NA,NA,yes,Taiwan,Lanyu Island (Orchid Island),Chung-Ai Bridge,C.A. Ross,NA,111,NA,NA,NA,male,NA
NMNH,611825,Alcedinidae,Halcyon,Halcyon_coromanda,29.56,49.26,16.71,10.95,29.51,24.15,31.77,11.33,39.52,49.9,21.55,23.6,37.46,16.26,Lanyu_Island,NA,45,NA,NA,NA,NA,NA,NA,NA,yes,Taiwan,Taiwan Island,Ta-Kong-Kau,C.A. Ross,NA,93,NA,NA,major,female,NA
NMNH,322532,Alcedinidae,Halcyon,Halcyon_leucocephala,24.54,39.7,11.06,7.19,21.76,18.95,24.96,9.22,31.3,NA,16.6,17.32,27.71,12.77,continent,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,Cameroon,Tibati,NA,J.A. Reis,NA,NA,NA,NA,NA,male,NA
NMNH,322533,Alcedinidae,Halcyon,Halcyon_leucocephala,24.45,36.82,10.75,6.32,22.73,18.41,23.33,8.55,31.25,41.52,16.41,17.48,28.06,13.13,continent,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,Cameroon,Tibati,NA,J.A. Reis,NA,NA,NA,NA,NA,male,NA
NMNH,431807,Alcedinidae,Halcyon,Halcyon_leucocephala,24.52,38.2,11.08,6.75,23.46,18.22,24.29,7.98,32.7,41.53,16.97,18.92,29.93,13.52,continent,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,Kenya,Nyanza,Lake Victoria: Mfwangano Island,R. Leakey,NA,NA,NA,NA,NA,female,NA
NMNH,431805,Alcedinidae,Halcyon,Halcyon_leucocephala,24.63,34.55,11.08,6.94,22.9,17.58,22.52,8.38,31.55,41.43,17.19,18.86,30.06,13.63,continent,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,Kenya,Nyanza,Lake Victoria: Mfwangano Island,R. Leakey,NA,NA,NA,NA,NA,female,NA
NMNH,431804,Alcedinidae,Halcyon,Halcyon_leucocephala,24.2,37.39,NA,NA,23.05,18.59,24.84,8.51,32.38,41.18,16.6,NA,29.89,13.35,continent,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,Kenya,Nyanza,Lake Victoria: Mfwangano Island,R. Leakey,NA,NA,NA,NA,NA,male,NA
NMNH,431806,Alcedinidae,Halcyon,Halcyon_leucocephala,25.43,37.92,11.45,6.99,22.74,18.28,23.5,NA,NA,NA,17.89,18.71,29.8,14.18,continent,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,Kenya,Nyanza,Lake Victoria: Mfwangano Island,R. Leakey,NA,NA,NA,NA,NA,male,NA
NMNH,488850,Alcedinidae,Halcyon,Halcyon_leucocephala,24.41,33.94,11.35,7.03,23.34,17.94,24.72,9.05,31.51,40.22,16.1,17.93,28.03,12.26,continent,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,Zimbabwe,Salisbury,NA,R.H. Smithers,NA,NA,NA,NA,NA,female,NA
